Date, Close/Last, Volume, Open, High, Low
4/30/13,$53.99 ,5522548,$56 ,$58.18 ,$53.76 
4/29/13,$54.94 ,3638381,$51.76 ,$54.99 ,$51.20 
4/26/13,$51.20 ,3620350,$53.13 ,$53.74 ,$50.62 
4/25/13,$52 ,2795635,$50.50 ,$52.40 ,$50.50 
4/24/13,$50.43 ,2629908,$50.90 ,$51.05 ,$48.98 
4/23/13,$51.01 ,3733250,$51 ,$52.92 ,$50.66 
4/22/13,$50.19 ,3939327,$48.60 ,$50.20 ,$47.75 
4/19/13,$47.83 ,3011536,$47.46 ,$49.88 ,$47.07 
4/18/13,$46.97 ,3367887,$45.98 ,$47.60 ,$45.39 
4/17/13,$45.45 ,2118428,$45.50 ,$45.95 ,$44.54 
4/16/13,$45.59 ,3180338,$44.19 ,$46.14 ,$43.91 
4/15/13,$43.30 ,1677780,$43.50 ,$43.80 ,$42.51 
4/12/13,$43.75 ,3149372,$43.25 ,$45.14 ,$43.05 
4/11/13,$43.59 ,3446342,$42.06 ,$44.55 ,$41.75 
4/10/13,$41.86 ,2121088,$40.70 ,$42.01 ,$40.61 
4/9/13,$40.50 ,1696036,$41.80 ,$41.83 ,$40.33 
4/8/13,$41.83 ,1679001,$41.97 ,$42.55 ,$41.51 
4/5/13,$41.37 ,1552097,$42 ,$42 ,$40.50 
4/4/13,$42.01 ,2264742,$41.11 ,$42.25 ,$40.81 
4/3/13,$41.10 ,5643205,$43.10 ,$43.47 ,$40.21 
4/2/13,$44.34 ,6600998,$43.60 ,$45.50 ,$43.51 
4/1/13,$43.93 ,14088400,$42.36 ,$46.68 ,$41.70 
3/28/13,$37.89 ,1158652,$38.23 ,$38.24 ,$37.75 
3/27/13,$38.16 ,1296283,$37.94 ,$38.38 ,$37.31 
3/26/13,$37.86 ,1805587,$37.98 ,$38.22 ,$37.66 
3/25/13,$37.53 ,2375218,$37.10 ,$38.52 ,$36.77 
3/22/13,$36.62 ,442535,$36.20 ,$36.80 ,$36.20 
3/21/13,$36.01 ,1146287,$35.95 ,$37.06 ,$35.74 
3/20/13,$35.95 ,1422984,$35.26 ,$36.07 ,$35.16 
3/19/13,$35.08 ,1083765,$35.25 ,$35.60 ,$34.94 
3/18/13,$35.15 ,1316036,$35.30 ,$36.06 ,$34.92 
3/15/13,$35.29 ,3279577,$36.64 ,$36.65 ,$35.21 
3/14/13,$36.85 ,2020811,$38.90 ,$38.91 ,$36.77 
3/13/13,$38.98 ,821986,$39 ,$39.49 ,$38.81 
3/12/13,$39.12 ,1274426,$38.90 ,$39.38 ,$38.85 
3/11/13,$39.10 ,1579440,$38.87 ,$39.44 ,$38.65 
3/8/13,$38.47 ,912052,$38.06 ,$39.44 ,$37.36 
3/7/13,$38.23 ,1158254,$37.73 ,$38.65 ,$36.88 
3/6/13,$37.69 ,1149925,$37.01 ,$37.88 ,$36.97 
3/5/13,$36.65 ,2086969,$36 ,$36.92 ,$35.79 
3/4/13,$35.58 ,1757660,$34.77 ,$35.83 ,$34.70 
3/1/13,$34.65 ,1546400,$35 ,$35.08 ,$34.25 
2/28/13,$34.83 ,1964893,$35.89 ,$36.10 ,$34.37 
2/27/13,$35.10 ,1959129,$34.41 ,$35.41 ,$34.40 
2/26/13,$34.43 ,2762900,$34.46 ,$34.96 ,$33.80 
2/25/13,$34.38 ,2889237,$36.15 ,$36.75 ,$34.34 
2/22/13,$36.11 ,2545223,$35.72 ,$36.39 ,$35.60 
2/21/13,$35.16 ,9035810,$36.49 ,$37.39 ,$34.54 
2/20/13,$38.54 ,3078371,$39.30 ,$39.65 ,$38.46 
2/19/13,$39.28 ,2700540,$37.36 ,$39.29 ,$37.31 
2/15/13,$37.04 ,2017449,$38.50 ,$38.51 ,$36.95 
2/14/13,$38.30 ,990640,$38.64 ,$38.75 ,$38.21 
2/13/13,$38.45 ,966802,$38.30 ,$39 ,$38.05 
2/12/13,$37.89 ,2260409,$38.45 ,$38.87 ,$37.29 
2/11/13,$38.42 ,3265648,$37.98 ,$39.15 ,$37.50 
2/8/13,$39.24 ,1139533,$39.45 ,$40 ,$39.14 
2/7/13,$39.48 ,1196521,$39.19 ,$39.68 ,$38.95 
2/6/13,$39.17 ,1892848,$38.18 ,$39.39 ,$37.90 
2/5/13,$38.13 ,1310192,$38 ,$38.65 ,$37.68 
2/4/13,$37.74 ,1127989,$38.40 ,$38.42 ,$37.59 
2/1/13,$38.30 ,1100390,$38.17 ,$38.50 ,$37.62 
1/31/13,$37.51 ,901318,$37.87 ,$37.87 ,$36.93 
1/30/13,$37.52 ,968098,$37.85 ,$38 ,$37.43 
1/29/13,$37.95 ,1426503,$38.10 ,$38.44 ,$37.13 
1/28/13,$38.03 ,1985892,$36.86 ,$38.71 ,$36.86 
1/25/13,$36.98 ,1287703,$37 ,$37.54 ,$36.80 
1/24/13,$36.99 ,1970389,$36 ,$37.72 ,$35.84 
1/23/13,$36 ,1563452,$35.02 ,$36.24 ,$34.96 
1/22/13,$35.19 ,1920131,$34.56 ,$35.55 ,$34.26 
1/18/13,$34.52 ,3555074,$34.74 ,$34.78 ,$33.82 
1/17/13,$34.38 ,1436604,$34.16 ,$34.85 ,$33.92 
1/16/13,$34.10 ,1378138,$33.85 ,$34.23 ,$33.73 
1/15/13,$33.90 ,1623845,$33.11 ,$34.25 ,$33.08 
1/14/13,$33.26 ,925018,$33.08 ,$33.38 ,$32.85 
1/11/13,$32.91 ,1562974,$34.04 ,$34.04 ,$32.11 
1/10/13,$33.53 ,922405,$33.87 ,$33.99 ,$33.38 
1/9/13,$33.64 ,697979,$34.01 ,$34.19 ,$33.40 
